Cre06.g252743.t1.2,1787.11474154915,1.69335662496973,10.0435307098562,1785.42138492418,0.999361049821299,1785.44963363677
Cre12.g546600.t1.1,0.64180950001765,1582.30301597172,-11.267593141981,1581.6612064717,0.999200378138936,-1581.70134055476
Cre12.g551353.t1.1,1159.65602203189,0.884541124984189,10.3564800954419,1158.77148090691,0.998615607946149,1158.81776032435
Cre12.g548950.t1.2,317.09303050872,18316.2290342976,-5.85207253178917,17999.1360037889,0.997421779980682,-17999.1369551332
Cre12.g551352.t1.1,650.706697017894,0.330216624994097,10.9443789309625,650.3764803929,0.99707801731144,650.46855856255
Cre09.g402219.t1.1,134.955205503711,7315.09868224424,-5.76032479601243,7180.14347674053,0.997076149036063,-7180.14578737238
Cre03.g162800.t1.2,0.701024500019278,599.389373614286,-9.73981292596456,598.688349114267,0.996822063584884,-598.767570365162
Cre01.g053150.t2.1,1.50441850004137,609.414206989107,-8.66207337044817,607.909788489065,0.996816458758755,-607.971498062117
Cre04.g223300.t1.2,2.93523200008072,458.084049366812,-7.28599398026688,455.148817366731,0.995581528735009,-455.207130500626
Cre12.g495951.t1.1,0.250000000006875,298.608089244662,-10.2221094381113,298.358089244656,0.993924368476216,-298.533148811127
Cre06.g260700.t1.2,305.043851008389,2.6239738749531,6.86111948314999,302.419877133436,0.993363885863321,302.497697587873
Cre09.g399250.t1.2,276.768964507611,0.721553249987102,8.58336059182007,276.047411257624,0.993322783805042,276.180823630253
Cre06.g252750.t1.1,241.581006006643,0.0763171249986358,11.6282125851565,241.504688881645,0.992422275073657,241.78447030309
Cre09.g402219.t2.1,23.2617540006397,874.111104859375,-5.23178487750606,850.849350858736,0.992306442000325,-850.865435559429
Cre05.g248400.t1.2,15.6644210004308,619.770098738922,-5.30616980284937,604.105677738491,0.991646940792485,-604.128980693575
Cre05.g248450.t1.2,12.8870255003544,538.483267240375,-5.38491030162285,525.59624174002,0.99163946769098,-525.623826124911
Cre13.g569850.t1.2,1009.62625352776,30.1442078744612,5.06579670148099,979.482045653304,0.991447035327219,979.495145497619
Cre06.g253000.t1.1,206.363824505675,0.342898749993871,9.23319172866509,206.020925755681,0.991241525035824,206.227722866559
Cre03.g199050.t1.2,189.430606005209,0.0322077499994243,12.5219739441214,189.39839825521,0.990499819711426,189.811888703254
Cre04.g223100.t1.2,200.567531505516,5476.16292952711,-4.77100538900218,5275.5953980216,0.990281231492397,-5275.59755535987
Cre12.g530400.t1.2,0.0628760000017291,168.053997746996,-11.3841278018837,167.991121746994,0.989444244123807,-168.376409724234
Cre06.g281600.t1.2,0.495960000013639,157.464427497185,-8.31058646388046,156.968467497172,0.988825844974246,-157.188312656458
Cre08.g367400.t1.1,9.1053050002504,333.350239744041,-5.19418761052669,324.244934743791,0.988504501609519,-324.286535785775
Cre13.g562150.t1.2,161.930012504453,1.54298687497242,6.7135008027839,160.387025629481,0.988355039579414,160.527471428727
Cre13.g573400.t1.2,36.9281110010155,934.663489358293,-4.66165566843942,897.735378357277,0.98727143986115,-897.74748152688
Cre06.g263200.t1.1,133.988504003685,0.0907442499983779,10.5280153748909,133.897759753686,0.987138792309431,134.311016580137
